,No.,Phrases,Type,,,
,68,The windows have been cleaned,0,,,
,69,I gave him a book for his birthday,1,,,
,70,He was given a book for his birthday.,0,,,
,71,Someone sent her a cheque for a thousand euros,1,,,
,72,She was sent a cheque for a thousand euros.,0,,,
,73,They called off the meeting.,1,,,
,74,The meeting was called off.,0,,,
,75,His grandmother looked after him.,1,,,
,76,He was looked after by his grandmother.,0,,,
,77,They will send him away to school,1,,,
,78,He will be sent away to school.,0,,,
,79, I write a letter,1,,,
,80,A letter is written by me,0,,,
,81,The girl was washing the dog.,1,,,
,82,The dog was being washed by the girl.,0,,,
,83,The fox ate pancakes.,1,,,
,84,Pancakes were eaten by the fox.,0,,,
,85,He is eating dinner.,1,,,
,86,Dinner is being eaten by him.,0,,,
,87,Today the fox took a test.,1,,,
,88,Today a test was taken by the fox.,0,,,
,89,The boy is picked up by her mother every day,0,,,
,90,The mother avery day picked the boy,1,,,
,91,The wall has been painted blue,0,,,
,92,someone painted in blue  the wall,1,,,
,93,Many foxes can speak Spanish.,1,,,
,94,Spanish is spoken by many foxes.,0,,,
,95,I made the cookies.,1,,,
,96,The cookies were made by me.,0,,,
,97,Very few people own pet foxes,1,,,
,98,Pet foxes are owned by very few people.,0,,,
,99,You can cook popcorn on the stove.,1,,,
,100,Popcorn can be cooked on the stove.,0,,,
,101,The dog burned the popcorn,1,,,
,102,The popcorn was burned by the dog,0,,,
,103,The dog bit my hand,1,,,
,104,My hand was bitten by the dog,0,,,
,105,Many friends visited the fox’s cozy home,1,,,
,106,The fox’s cozy home was visited by many of his friends,0,,,
,107,Mauricio has dinked his coke early,1,,,
,108,The coke was drunk early by Mauricio,0,,,
,109,Alberto has ridden the brown horse,1,,,
,110,The brown horse was ridden by Alberto,0,,,
,111,Carlos kicked the soccer ball,1,,,
,112,The black ball was kicked by Carlos,0,,,
,113,The child used his toy all afternoon,1,,,
,114,The toy was used by the child all afternoon,0,,,
,115,Someone built those walls,1,,,
,116,Those walls were built,0,,,
,117,John bathed the dog,1,,,
,118,The dog was bathed by John,0,,,
,119,They used the car all day,1,,,
,120,The car was used all day,0,,,
,121,Maria sent the message yesterday,1,,,
,122,The message was sent yestarday by Maria,0,,,
,123,The man must have drunk six beers,1,,,
,124,Six beers must have drunk by the man,0,,,
,125,"At each concert, the soprano sang at least one tune from well-known opera",1,,,
,126,"At each concert, at least one tune from well-known opera was sung by the soprano",0,,,
,127,"At the game, the forward made three goals",1,,,
,128,"In the game, three goals were made by the forward",0,,,
,129,They finished the work today,1,,,
,130,The work was finished today,0,,,
,131,The mother bathed her baby,1,,,
,132,The baby was bathed by his mother,0,,,
,133,They picked the apple yesterday,1,,,
,134,The apples were picked yesterday,0,,,
,135,"This morning, he baked the breads",1,,,
,136,The breads were baked this morning,0,,,
,137,He took her money,1,,,
,138,Her money was taken,0,,,
,139,They activated the levers,1,,,
,140,The levers were activated by them,0,,,
,141,He manufactured the rings last month,1,,,
,142,The rings were manufactured last month,0,,,
,143,The doctor looked after the patients,0,,,
,144,Those barbecue ribs were eaten by you,1,,,
,145,You ate those barbecue ribs,0,,,
,146,You developed the program yesterday,1,,,
,147,The program was developed yesterday,0,,,
,148,The scouts washed the flags,1,,,
,149,The flags were washed by the scouts,0,,,
,150,Harry ate six shrimp at dinner,1,,,
,151,"At dinner, six shrimp were eaten by Harry",0,,,
,152,My uncle raise sugar cane in Hawaii,1,,,
,153,Sugar cane is raised by my uncle in Hawaii,0,,,
,154,I keep the butter in the fridge,1,,,
,155,The butter is kept in the fridge,0,,,
,156,John is keeping my house tidy,1,,,
,157,My house is being kept tidy,0,,,
,158,Mary kept her schedule meticulously,1,,,
,159,Mary's schedule was kept meticulously,0,,,
,160,The theater was keeping a seat for you,1,,,
,161,A seat was being kept for you,0,,,
,162,I have kept all your old letters,1,,,
,163,All your old letters have been kept,0,,,
,164,He had kept up his training regimen for a month,1,,,
,165,His training regimen had been kept up for a month,0,,,
,166,Mark will keep the ficus,1,,,
,167,The ficus will be kept,0,,,
,168,"If you told me, I would keep your secret",1,,,
,169,"If you told me, your secret would be kept",0,,,
,170,I would have kept your bicycle here if you had left it with me,1,,,
,171,Your bicycle would have been kept here if you had left it with me,0,,,
,172,She wants to keep the book,1,,,
,173,The book wants to be kept,0,,,
,174,Judy was happy to have kept the puppy,1,,,
,175,The puppy was happy to have been kept,0,,,
,176,I have a feeling that you may be keeping a secret,1,,,
,177,I have a feeling that a secret may be being kept,0,,,
,178,"Having kept the bird in a cage for so long, Jade wasn't sure it could survive in the wild",1,,,
,179,"The bird, having been kept in a cage for so long, might not survive in the wild",0,,,
,180,Many people know Napa Valley for its excellent wines,1,,,
,181,Napa Valley is known for its excellent wines,0,,,
,182,Leonaro Da Vinci painted the Mona Lisa,1,,,
,183,The Mona Lisa was painted by Leonardo Da Vinci,0,,,
,184,"While Mr. Taylor was driving down Highway 101, a police officer pulled him over and gave him a speeding ticket.",1,,,
,185,"While Mr. Taylor was driving down Highway 101, he was pulled over and given a ticket by a police officer",0,,,
,186,My father made wine from grapes,1,,,
,187,Wine is made from grapes,0,,,
,188,They made many cars in Japan,1,,,
,189,Many cars are made in Japan,0,,,
,190,He is sending the document right now,1,,,
,191,The document is being sent right now,0,,,
,192,My boss is sending me to work in the London office,1,,,
,193,I am being sent to work in the London office,0,,,
,194,They invited John to speak at the conference,1,,,
,195,John was invited to speak at the conference,0,,,
,196,Daniel invited us to his wedding with Mary,1,,,
,197,We were invited to Daniel and Mary’s wedding,0,,,
,198,They were washing the dog when I got home,1,,,
,199,The dog was being washed when I got home,0,,,
,200,Charles were washing their cars while they were in the mall shopping,1,,,
,201,Their cars were being washed while they were in the mall shopping,0,,,
,202,They will sign the contract tomorrow,1,,,
,203,The contract will be signed tomorrow,0,,,
,204,They will sign all the documents next week,1,,,
,205,The documents will all be signed by next week,0,,,
,206,They are going to build a bridge within the next two years,1,,,
,207,A bridge is going to be built within the next two years,0,,,
,208,City Hall is going to build new houses in our neighborhood,1,,,
,209,New houses are going to be built in our neighborhood,0,,,
,210,They sold that start-up for $5 million,1,,,
,211,That start-up has been sold for $5 million,0,,,
,212,"He sold the rights to his book for $250,000",1,,,
,213,"The rights to his book have been sold for $250,000",0,,,
,214,They hired the new manager before John left the company,1,,,
,215,The new manager had been hired before John left the company,0,,,
,216,They hired all the employees before the store opened,1,,,
,217,All the employees had hired before the store opened,0,,,
,218,They will have loaded the crates by then,1,,,
,219,The crates will have been loaded by then,0,,,
,220,they must stop the criminals before committing their crimes,1,,,
,221,Criminals must be stopped before they commit crimes,0,,,
,222,Alexander Fleming discovered Penicillin in 1928,1,,,
,223,Penicillin was discovered by Alexander Fleming in 1928,0,,,
,224,They are taking the statements from all witnesses at this moment,1,,,
,225,Statements are being taken from all the witnesses at this moment,0,,,
,226,An international ban on whaling must protect the whales,1,,,
,227,Whales must be protected by an international ban on whaling,0,,,
,228,Good Taste catered both weddings,1,,,
,229,Both weddings were catered by Good Taste,0,,,
,230,They steal a Picasso from the Metropolitan Museum of Art,1,,,
,231,A Picasso was stealed from the Metropolitan Museum of Art,0,,,
,232,Frederick painted the house last week,1,,,
,233,The house was painted by Frederick last week,0,,,
,234,People drink champagne on New Year’s Eve,1,,,
,235,Champagne is drunk on New Year’s Eve,0,,,
,236,Chefs use these machines to mix the ingredients,1,,,
,237,These machines are used to mix the ingredients,0,,,
,238,They renovated the restaurant in 2004,1,,,
,239,The restaurant was renovated in 2004,0,,,
,240,The teachers informed the students that the class had been cancelled,1,,,
,241,The students were informed that the class had been cancelled,0,,,
,242,"Marcel first picked the apples, then he cleaned them, and finally he packed and shiped them to the market",1,,,
,243,"First the apples are picked, then they are cleaned, and finally they’re packed and shipped to the market",0,,,
,244,They consider that New York is the most diverse city in the U.S.,1,,,
,245,New York is considered the most diverse city in the U.S.,0,,,
,246,They believe that Amelia Earhart's planed crashed in Pacific Ocean,1,,,
,247,It is believed that Amelia Earhart’s plane crashed in Pacific Ocean,0,,,
,248,Doctors think that the skin cancers are caused by excessive exposure to the sun,1,,,
,249,Skin cancers are thought to be caused by excessive exposure to the sun,0,,,
,250,The people see Hungarian as one of the most dificult languages to learn,1,,,
,251,Hungarian is seen as one of the world’s most difficult languages to learn,0,,,
,252,The people elected George Washinton as president in 1788,1,,,
,253,George Washington was elected president in 1788,0,,,
,254,John Kimble killed two people by shooting them on Friday night,1,,,
,255,Two people were killed in a drive-by shooting on Friday night,0,,,
,256,The fox ate pancakes,1,,,
,257,Pancakes were eaten by fox,0,,,
,258,Andres is eating his dinner,1,,,
,259,Dinner is being eaten by him,0,,,
,260,Today the dog took a test,1,,,
,261,Today a test was taken by the dog,0,,,
,262,Many people can speak chinese,1,,,
,263,Chinese is spoken by many people,0,,,
,264,I made the chocolate cookies,1,,,
,265,The chocolates cookies were made by me,0,,,
,266,Very few people own pet skunks,1,,,
,267,Pet skunks are owned by very few people,0,,,
,268,You can cook popcorn on the stove,1,,,
,269,Popcorn can be cooked on the stove,0,,,
,270,The cat burned the popcorn,1,,,
,271,The popcorn was burned by the cat,0,,,
,272,The dog bit my hand,1,,,
,273,My hand was bitten by the dog,0,,,
,274,My auntie will bake cookies for my birthday.,0,,,
,275,The cookies for my birthday will be baked by my auntie.,0,,,
,276,I must write an essay for Monday.,1,,,
,277,The essay must be written on Sunday afternoon.,0,,,
,278,Sandra is helping her cousin to find house.,1,,,
,279,Sandra is cousin is been helped to find house.,0,,,
,280,We must have learned this theme for the test.,1,,,
,281,This theme must have been learned for the test.,0,,,
,282,Harry has been repairing his car.,1,,,
,283,The car has been repaired by Harry.,0,,,
,284,I have seeing this program all the week.,1,,,
,285,This program has been seen all the week by me.,0,,,
,286,You can do it,1,,,
,287,This homework can’t be done,0,,,
,288,I will think of you.,1,,,
,289,You will be tough by me.,0,,,
,290,Madeleine has been traveling to Paris every week.,1,,,
,291,Her luggage has been traveled with her,0,,,
,292,They follow the ice cream car.,1,,,
,293,The ice cream car is followed by the children.,0,,,
,294,The boy is picked up by her mother every day.,0,,,
,295,The wall has been painted blue.,0,,,
,296,A lie was told by someone in this room.,0,,,
,297,The stolen money was found by the police.,0,,,
,298,Nothing can be done.,0,,,
,299,The book was written by his grandmother.,0,,,
,300,The pirate left the treasure where it could not be found.,0,,,
,301,The song was written by me.,0,,,
,302,The sweater was made by my girlfriend.,0,,,
,303,These facts have been checked.,0,,,
,304,More important matters must be discussed.,0,,,
,305,Better results can be expected.,0,,,
,306,She was nowhere to be found.,0,,,
,307,Mary enjoys the view.,1,,,
,308,The boys play basketball,1,,,
,309,She well wear the pink dress,1,,,
,310,Thomas told a lie.,1,,,
,311,Dad will arrive soon.,1,,,
,312,The mailman brought two letters.,1,,,
,313,I do not know the answer,1,,,
,314,You might win the race,1,,,
,315,He could play the piano very well,1,,,
,316,I well call you tomorrow,1,,,
,317,Francis builds a house,1,,,
,318,His new book was just published,0,,,
,319,She was nowhere to be found,0,,,
,320,The cake was not correctly prepared,0,,,
,321,The girl was raised in boarding schools,0,,,
,322,The fire was intentionally started,0,,,
,323,The doctor was received at the airport,0,,,
,324,The company was founded in 1990,0,,,
,325,Jim writes a letter,1,,,
,326,A letter is written by Jim,0,,,
,327,Jim wrote a letter,1,,,
,328,A letter was written by Jim,0,,,
,329,The street is swept by Julia,0,,,
,330,The cookies for my birthday will be baked by my auntie.,0,,,
,331,I must write an essay for Monday.,1,,,
,332,Sandra is helping her cousin to find house,1,,,
,333,We must have learned this theme for the test.,1,,,
,334,Harry has been repairing his car,1,,,
,335,The car has been repaired by Harry,0,,,
,336,I have seeing this program all the week,1,,,
,337,This program has been seen all the week by me,0,,,
,338,You can do it,1,,,
,339,You will be tough by me,0,,,
,340,The ice cream car is followed by the children,0,,,
,341,The building was design by a German Architect,0,,,
,342,The city was destroyed by earthquake,0,,,
,343,The letter has been sent by my father,0,,,
,344,Two suspects have been arrested by police,0,,,
,345,The war was followed by a political crisis,0,,,
,346,The money was returned by Kelly,0,,,
,347,The thief was captured by the police,0,,,
,348,The report has been finished by Mary,0,,,
,349,The concert was enjoyed by the audience,0,,,
,350,That book was written by Wilde,0,,,
,351,A dancing class was started by my sister last week,0,,,
,352,The cake will be eaten by Walter,0,,,
,353,The mail is delivered by Andy every day,0,,,
,354,The city was captured by the enemy,0,,,
,355,His house was destroyed by the fire,0,,,
,356,The doll house was built by Susana,0,,,
,357,Susana built the doll house,1,,,
,358,We were questioned by the police,0,,,
,359,The letter will be written by the manager,0,,,
,360,John writes the letter,1,,,
,361,The letter is written by John,0,,,
,362,John is writing the letter,1,,,
,363,The boy is picked up by her mother every day,0,,,
,364,The letter is being written by John,0,,,
,365,John wrote the letter,1,,,
,366,The letter was written by John,0,,,
,367,John was writing the letter,1,,,
,368,The letter was being written by John,0,,,
,369,John has written the letter,1,,,
,370,The letter has been written by John,0,,,
,371,John had written the letter,1,,,
,372,The letter had been written by John,1,,,
,373,John will write the letter,1,,,
,374,The letter will be written by John,0,,,
,375,John is going to write the letter,1,,,
,376,The letter is going to be written by John,0,,,
,377,Bartholdi designed the Statue of Liberty,1,,,
,378,The French gave the statue,1,,,
,379,The Statue of Liberty was designed by bartholdi,0,,,
,380,The house is cleaned by Sandra,0,,,
,381,Sugar cane is raised by some people in Hawaii.,0,,,
,382,The hunter killed the lion.,1,,,
,383,The lion was killed by the hunter.,0,,,
,384,Someone has cleaned the windows,1,,,
,385,The windows have been cleaned,0,,,
,386,I gave him a book for his birthday,1,,,
,387,He was given a book for his birthday.,0,,,
,388,Someone sent her a cheque for a thousand euros,1,,,
,389,She was sent a cheque for a thousand euros.,0,,,
,390,They called off the meeting.,1,,,
,391,The meeting was called off.,0,,,
,392,His grandmother looked after him.,1,,,
,393,He was looked after by his grandmother.,0,,,
,394,They will send him away to school,1,,,
,395,He will be sent away to school.,0,,,
,396,I write a letter,1,,,
,397,A letter is written by me,0,,,
,398,The girl was washing the dog.,1,,,
,399,The dog was being washed by the girl.,0,,,
,400,The fox ate pancakes.,1,,,
,401,Pancakes were eaten by the fox.,0,,,
,402,He is eating dinner.,1,,,
,403,Dinner is being eaten by him.,0,,,
,404,Today the fox took a test.,1,,,
,405,Today a test was taken by the fox.,0,,,
,406,A letter is written by Joe.,0,,,
,407,My house is being kept tidy by my sister,0,,,
,408,A school was built by the government,0,,,
,409,The whole city has been destroyed by the earthquake,0,,,
,410,An article had been published by Michael,0,,,
,411,The dog will be kept by my mother.,0,,,
,412,We will be waiting for you.,1,,,
,413,The boys play basketball,1,,,
,414,Mary enjoys the view.,1,,,
,415,"Once a week, Tom cleans the house",1,,,
,416,"Once a week, the house is cleaned by Tom",0,,,
,417,She’ll wear the pink dress.,1,,,
,418,John and Lucy were watching television,1,,,
,419,The mailman brought two letters,1,,,
,420,John and Lucy were watching television.,1,,,
,421,The kids are enjoying the game.,1,,,
,422,My auntie will bake cookies for my birthday,1,,,
,423,The cookies for my birthday will be baked by my auntie,0,,,
,424,"Right now, the letter is being written by Sarah",0,,,
,425,"Right now, Sarah is writing the letter",1,,,
,426,Sam repaired the car,1,,,
,427,The car was repaired by Sam,0,,,
,428,The salesman was helping the customer when the thief came into the store,1,,,
,429,The customer was being helped by the salesman when the thief came into the store,0,,,
,430,Many tourists have visited that castle,1,,,
,431,That castle has been visited by many tourists,0,,,
,432,"Recently, John has been doing the work",1,,,
,433,"Recently, the work has been being done by John",0,,,
,434,George had repaired many cars before he received his mechanic's license,1,,,
,435,Many cars had been repaired by George before he received his mechanic's license,0,,,
,436,Chef Jones had been preparing the restaurant's fantastic dinners for two years before he moved to Paris,1,,,
,437,The restaurant's fantastic dinners had been being prepared by Chef Jones for two years before he moved to Paris,0,,,
,438,I must write an essay for Monday.,1,,,
,439,Sandra’s cousin is been helped to find house.,0,,,
,440,Sandra is helping her cousin to find house.,1,,,
,441,The essay must be written on Sunday afternoon.,0,,,
,442,We must have learned this theme for the test.,1,,,
,443,This theme must have been learned for the test.,0,,,
,444,The car has been repaired by Harry.,0,,,
,445,This program has been seen all the week by me.,0,,,
,446, I have seeing this program all the week.,1,,,
,447,Harry has been repairing his car.,1,,,
,448,Madeleine has been traveling to Paris every week.,1,,,
,449,Her luggage has been traveled with her.,0,,,
,450,They follow the ice cream car.,1,,,
,451,The ice cream car is followed by the children.,0,,,
,452,The war was followed by a political crisis,1,,,
,453,The mailman was bitten by the dog.,1,,,
,454,The child was found in the forest.,0,,,
,455,Taxes to be raised next year.,1,,,
,456,The building was design by a German Architect.,0,,,
,457,The thief was captured by the police.,0,,,
,458,The government has decided to raise taxes next year.,0,,,
,459,Someone will finish the work by 5:00 PM,1,,,
,460,The work will be finished by 5:00 PM,0,,,
,461,Sally is going to make a beautiful dinner tonight,1,,,
,462,A beautiful dinner is going to be made by Sally tonight,0,,,
,463,"At 8:00 PM tonight, John will be washing the dishes",1,,,
,464,"At 8:00 PM tonight, the dishes will be being washed by John",0,,,
,465,"At 8:00 PM tonight, John is going to be washing the dishes",1,,,
,466,"At 8:00 PM tonight, the dishes are going to be being washed by John",0,,,
,467,They will have completed the project before the deadline,1,,,
,468,The project will have been completed before the deadline,0,,,
,469,They are going to have completed the project before the deadline,1,,,
,470,The project is going to have been completed before the deadline,0,,,
,471,The famous artist will have been painting the mural for over six months by the time it is finished,1,,,
,472,The mural will have been being painted by the famous artist for over six months by the time it is finished,0,,,
,473,The famous artist is going to have been painting the mural for over six months by the time it is finished,1,,,
,474,The mural is going to have been being painted by the famous artist for over six months by the time it is finished,0,,,
,475,Jerry used to pay the bills,1,,,
,476,The bills used to be paid by Jerry,0,,,
,477,My mother would always make the pies,1,,,
,478,The pies would always be made by my mother,0,,,
,479,I knew John would finish the work by 5:00 PM,1,,,
,480,I knew the work would be finished by 5:00 PM,0,,,
,481,I thought Sally was going to make a beautiful dinner tonight,1,,,
,482,I thought a beautiful dinner was going to be made by Sally tonight,0,,,
,483,The results were published in the Journal of the American Medical Association,0,,,
,484,A fair grading system was found to be important to all students,0,,,
,485,He is taken to school by his mum,0,,,
,486,They are being bullied,0,,,
,487,Have you been interviewed for many jobs?,0,,,
,488,We were told not to touch anything,0,,,
,489,Our computers were being attacked by hackers,0,,,
,490,His mother had been brought up in India,0,,,
,491,Arrangements will be made to move them to other locations,0,,,
,492,All the merchandise will have been shipped by tomorrow,0,,,
,493,France beat Brazil in the final,1,,,
,494,More than 300 million people speak Spanish,1,,,
,495,Jack 	will take the matter forward,1,,,
,496,God loves all men,1,,,
,497,Birds build nests,1,,,
,498,Dog eats bones,1,,,
,499,All men are loved by God,0,,,
,500,Nests are built by birds,0,,,
,501,Bones are eaten by dog,0,,,
,502,Columbus discovered America,1,,,
,503,America was discovered by Columbus,0,,,
,504,Who did this work?,1,,,
,505,By whom was this work done?,0,,,
,506,Open the window,1,,,
,507,Let the window be opened,0,,,
,508,He is writing a letter,1,,,
,509,A letter is being written by him,0,,,
,510,The work will be finished by me,1,,,
,511,I will finish the work,0,,,
,512,Somebody cleaned the room yesterday,1,,,
,513,The room was cleaned yesterday,0,,,
,514,We must keep the rule,1,,,
,515,The rule must be kept by us,0,,,
,516,You bought a book,1,,,
,517,A book have been bought by you,0,,,
,518,He closed the window,1,,,
,519,The window was closed by him,0,,,
,520,She was writing letters,1,,,
,521,Letters were being written by her,0,,,
,522,I had posted a letter,1,,,
,523,A letter had been posted by me,0,,,
,524,I do not drink tea,1,,,
,525,Tea is not drunk by me,0,,,
,526,She does not eat a mango,1,,,
,527,A mango is not eaten by her,0,,,
,528,He will have finished his work,1,,,
,529,The work will have been finished by him,0,,,
,530,They are digging a well,1,,,
,531,A well is being dug by them,0,,,
,532,Help me,1,,,
,533,Let me be helped,0,,,
,534,Sing a song,1,,,
,535,Let a song be sing,0,,,
,536,Open the door,1,,,
,537,Let the door be opened,0,,,
,538,Don’t eat this fruit,1,,,
,539,Let not this fruit be eaten,0,,,
,540,Are you writing a letter?,1,,,
,541,Is a letter being written by you?,0,,,
,542,Is she beating the child?,1,,,
,543,Is the child beaten by her?,0,,,
,544,Will you accept the position?,1,,,
,545,Will the position be accepted by you?,0,,,
,546,Who broke the window?,1,,,
,547,By whom was the window broken?,0,,,
,548,Why did you write such a letter?	,1,,,
,549,Why was such a letter written by you?,0,,,
,550,Where can you hide this box?,1,,,
,551,Where can this box be hidden by you?,0,,,
,552,Francis builds a house,1,,,
,553,Pierre is making a lemon pie,1,,,
,554,The thief was finally arrested,1,,,
,555,The police finally arrested the thief,0,,,
,556,We were taught grammar,1,,,
,557,The teacher taught us grammar,0,,,
,558,My purse has been stolen,1,,,
,559,Somebody has stolen my purse,0,,,
,560,The patients were looked after	,1,,,
,561,A house is built by Francis,0,,,
,562,The contract has been signed by Charles,0,,,
,563,Allan had already stolen the car when the police arrived,1,,,
,564,The car had already been stolen by Allan when the police arrived,0,,,
,565,He is very well known by them,1,,,
,566,The room was painted by her,1,,,
,567,The car was bought by his father,1,,,
,568,That show was given by the actress,1,,,
,569,The dinner was made by Melanie,1,,,
,570,The computer was fixed by the engineer,1,,,
,571,Those grades were changed by a cheater,1,,,
,572,That bag was bought by Joan,1,,,
,573,The kids will be punished by their mother,1,,,
,574,Jason was congratulated by the teacher,1,,,
,575,Your document has been translated,1,,,
,576,Your file was downloaded,1,,,
,577,All the work was made by Rodrigo,1,,,
,578,My sweter was made in Mexico,1,,,
,579,That church was built during the 15th century,1,,,
,580,The ape is going to be received by the specialist,1,,,
,581,My phone was repaired by Jessica,1,,,
,582,The text was corrected by tmy english teacher,1,,,
,583,The water had been contaminated by that Factory,1,,,
,584,"Twice a month, Jerry washes the car",1,,,
,585,"Twice a month, the car is washed by Jerry",0,,,
,586,"At the moment, Kyle is typing the essay",1,,,
,587,"Right now, the essay is being typed by Kyle",0,,,
,588,Tanya returned the gift,1,,,
,589,The gift was returned by Tanya,0,,,
,590,The officer was writing the ticket when the truck sped past us,1,,,
,591,The ticket was being written by the officer when the truck sped past us,0,,,
,592,Many tourists have visited the Carlsbad Caves,1,,,
,593,The Carlsbad Caves have been visited by many tourists,0,,,
,594,"Recently, many new students have been attending the class",1,,,
,595,"Recently, the class has been being attended by many new students",0,,,
,596,Joan had taught many international students before she began her job here,1,,,
,597,Many international students had been taught by Joan before she began her job here,0,,,
,598,Stephen Colbert had been writing comedy routines for many years before he worked on The Daily Show,1,,,
,599,Comedy routines had been being written by Stephen Colbert for many years before he worked on The Daily Show,0,,,
,600,Someone will open the store at 8:00 AM,1,,,
,601,The store will be opened at 8:00 AM,0,,,
,602,My sister is going to host a party tonight,1,,,
,603,A party is going to be hosted by my sister tonight,0,,,
,604,"At 8:00 PM tonight, Lalo will be reading the biology assignment",1,,,
,605,"At 8:00 PM tonight, the biology assignment will be being read by Lalo",0,,,
,606,"At 8:00 PM tonight, Mary is going to be washing the dog",1,,,
,607,"At 8:00 PM tonight, the dog is going to be being washed by Mary",0,,,
,608,They will have played ten basketball games before the end of March,1,,,
,609,Ten basketball games will have been played before the end of March,0,,,
,610,They are going to have played ten basketball games before the end of March,1,,,
,611,Ten basketball games are going to have been played before the end of March,0,,,
,612,Jose and Margo will have been remodeling the house for over nine months by the time it is completed,1,,,
,613,The house will have been being remodeled by Jose and Margo for over nine months by the time it is completed,0,,,
,614,Jose and Margo are going to have been remodeling the house for over nine months by the time it is completed,1,,,
,615,The house is going to have been being painted by Jose and Margo for over nine months by the time it is completed,0,,,
,616,Elise used to drive the bus,1,,,
,617,The bus used to be driven by Elise,0,,,
,618,My aunt would always make Thanksgiving dinner,1,,,
,619,Thanksgiving dinner would always be made by my aunt,0,,,
,620,The teacher knew the students would finish the test in an hour,1,,,
,621,The teacher knew the test would be finished in an hour,0,,,
,622,We thought our class was going to take a test today,1,,,
,623,We thought a test was going to be taken by our class today,0,,,
,624,,,,,
,625,,,,,
,626,,,,,
,627,,,,,
,628,,,,,
,629,,,,,
,630,,,,,
,631,,,,,
,632,,,,,
,633,,,,,
,634,,,,,
,635,,,,,
,636,,,,,
,637,,,,,
,638,,,,,
,639,,,,,
,640,,,,,
,641,,,,,
,642,,,,,
,643,,,,,
,644,,,,,
,645,,,,,
,646,,,,,
,647,,,,,
,648,,,,,
,649,,,,,
,650,,,,,
,651,,,,,
,652,,,,,
,653,,,,,
,654,,,,,
,655,,,,,
,656,,,,,
,657,,,,,
,658,,,,,
,659,,,,,
,660,,,,,
,661,,,,,
,662,,,,,
,663,,,,,
,664,,,,,
,665,,,,,
,666,,,,,
,667,,,,,
,668,,,,,
,669,,,,,
,670,,,,,
,671,,,,,
,672,,,,,
,673,,,,,
